name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/32768_mean",20,1168.47,1168.46,ns,2.80606e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/32768_median",20,1170.51,1170.5,ns,2.7995e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/32768_stddev",20,29.3619,29.3633,ns,7.05235e+08,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/262144_mean",20,15372.1,15372,ns,1.7058e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/262144_median",20,15360.2,15360,ns,1.70667e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/262144_stddev",20,259.485,259.479,ns,2.87935e+08,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/2097152_mean",20,234297,234293,ns,8.9777e+09,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/2097152_median",20,231508,231491,ns,9.05956e+09,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/2097152_stddev",20,13388.2,13388.5,ns,4.93252e+08,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/8388608_mean",20,1.2115e+06,1.21149e+06,ns,6.92696e+09,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/8388608_median",20,1.20958e+06,1.20957e+06,ns,6.93519e+09,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/8388608_stddev",20,24612,24614,ns,1.4117e+08,,,,
